OID_;X;Y;Shape_Length;Shape_Area;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished
3;270377,5508;7042163,442;104,3192835;258,7426493;1841;1841;;0;Jomfrugata 14;;;;FALSE
6;270324,1301;7042075,597;71,44515398;266,1821435;1841;1851;;;Munkegata 35;;;;FALSE
7;270452,1534;7042283,194;100,437402;583,2218803;1841;1851;;1870;Fjordgata 56/58;;;modif;TRUE
10;270381,2235;7042198,144;63,10690863;244,5021564;1841;1841;;0;Jomfrugata 18;;;;FALSE
15;270744,4275;7042028,227;151,4123426;570,5866402;1841;1851;;0;Kjøpmannsgata 40;;;;FALSE
19;270635,3131;7042169,088;47,57962074;136,5701781;1841;1841;;0;Søndre gate 21;;;;FALSE
25;270491,1669;7042232,101;84,70722445;397,7957016;1842;1842;;0;Nordre gate 23;;;;FALSE
30;270763,5374;7042107,109;149,2865637;928,1291535;1712;1712;;0;Kjøpmannsgata 42;;;;FALSE
59;270373,3923;7042216,48;45,32610372;120,5985529;1842;1842;;0;DEF;;;;FALSE
60;270647,1336;7042167,001;88,78903302;204,2491324;1841;1851;;;ABC;;;;FALSE
