OID_;X;Y;Shape_Length;Shape_Area;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished;Fire
45;270713,4859;7042159,935;59,34279838;213,9855035;1841;1851;1907;1907;Brattørgata 1;fire;;;TRUE;1
287;270686,5239;7042196,531;50,99234156;146,7894694;1841;1851;;1932;Brattørgata 10;;;;TRUE;0
298;270737,1486;7042177,581;47,94753025;128,2209993;1841;1851;;1991;Brattørgata 2?;;;CHECK PICTURE;TRUE;0
299;270753,6455;7042174,021;48,27627679;120,5274041;1841;1851;;1991;Brattørgata 2?;;;CHECK PICTURE;TRUE;0
67;270701,4973;7042163,474;64,08665464;195,2586454;1841;1851;;1903;Brattørgata 3A;;;;TRUE;0
66;270682,2817;7042156,682;122,0669219;352,6377558;1841;1851;;1905;Brattørgata 3B;;;;TRUE;0
289;270713,0703;7042189,727;62,31188966;224,9839535;1841;1851;;1902;Brattørgata 4;;;;TRUE;0
65;270668,1045;7042168,076;86,61527646;462,0836509;1841;1851;;1896;Brattørgata 5;;;;TRUE;0
288;270704,4927;7042192,745;51,10776132;118,2876538;1841;1851;;1935;Brattørgata 6;;;;TRUE;0
64;270696,3755;7042194,362;58,40157386;191,3369934;1841;1851;;1932;Brattørgata 8;;;;TRUE;0
47;270815,9853;7042189,946;139,8377681;527,4361123;1841;1851;1975;1975;Brattørveita 1?;;;;TRUE;0
292;270737,3903;7042188,208;52,03335323;167,1161048;1841;1851;1897;1909;Brattørveita 11;;;;TRUE;0
43;270720,8051;7042203,3;61,3789555;122,9454853;1841;1851;1904;2022;Brattørveita 13B;;;;TRUE;0
290;270722,5515;7042186,938;52,02321041;143,3608084;1841;1851;;1902;Brattørveita 13C;;;;TRUE;0
41;270712,0185;7042211,253;75,22983642;167,9566724;1841;1851;;1950;Brattørveita 15;;;;TRUE;0
62;270689,565;7042213,615;57,00241632;188,7003242;1841;1851;;2004;Brattørveita 19;;;;TRUE;0
283;270766,1536;7042229,125;68,00410689;166,4670454;1841;1851;1857;1857;Brattørveita 2;;antikvarisk;MODIFIED cf vfeb;TRUE;1
284;270777,4396;7042223,6;32,68145993;68,04341661;1841;1851;1857;1857;Brattørveita 2;;antikvarisk;fire 1857;TRUE;1
61;270676,6147;7042209,27;106,6395253;380,4248617;1841;1851;1951;1981;Brattørveita 21;;;CHECK;TRUE;0
294;270757,8154;7042210,427;49,75155921;149,4622721;1841;1845;;1991;Brattørveita 3;;;CHECK PICTURES;TRUE;0
293;270747,4229;7042211,143;48,12010226;140,033019;1841;1845;;1991;Brattørveita 5;;;CHECK PICTURES;TRUE;0
291;270737,8129;7042211,261;46,99237093;130,8669756;1841;1851;;1991;Brattørveita 7;;;CHECK PICTURES;TRUE;0
44;270740,6904;7042199,546;64,52600774;160,3986494;1841;1851;1897;1897;Brattørveita 9;;;CHECK PICTURES;TRUE;0
265;270521,8797;7042199,823;47,53908491;114,3023728;1841;1851;;;Carl Johans gate 10;;;;FALSE;0
228;270520,0545;7042168,574;70,34049692;210,1364194;1841;1851;1950;1975;Carl Johans gate 11;;;;TRUE;0
266;270513,0076;7042200,589;55,58620564;185,4241497;1841;1851;;1900;Carl Johans gate 12;;;;TRUE;0
227;270510,9485;7042174,8;38,47123666;89,13036674;1841;1851;1950;1975;Carl Johans gate 13;;;;TRUE;0
102;270500,5498;7042199,812;61,11482892;183,0019471;1841;1851;;1900;Carl Johans gate 14;;;;TRUE;0
244;270602,311;7042194,817;85,41357883;483,8954902;1841;1851;;1909;Carl Johans gate 2;;;;TRUE;0
241;270571,8744;7042169,704;58,23227423;156,8587061;1841;1851;;1915;Carl Johans gate 3;;;;TRUE;0
243;270580,1166;7042193,137;75,38780331;336,3174598;1841;1851;;1909;Carl Johans gate 4;;;;TRUE;0
231;270549,2482;7042171,422;54,2553874;186,1039158;1841;1851;;1900;Carl Johans gate 5;;;;TRUE;0
248;270547,3;7042194,765;51,94219327;173,3159447;1841;1851;;1914;Carl Johans gate 6;;;;TRUE;0
230;270537,5517;7042165,671;58,60996676;124,0091601;1841;1851;1947;1956;Carl Johans gate 7;;;;TRUE;0
264;270530,8201;7042198,369;51,46242388;168,3072707;1841;1851;;1900;Carl Johans gate 8;;;;TRUE;0
229;270528,4865;7042167,827;67,06227479;208,6620307;1841;1851;1950;1975;Carl Johans gate 9;;;;TRUE;0
225;270411,1705;7042231,897;46,1378314;123,8704685;1841;1851;1875;1899;Credoveita 14;;;Fjordgata 37 (in 1851);TRUE;0
106;270413,5326;7042217,748;48,3898604;134,9833827;1841;1851;;1920;Credoveita 2;fire;;;TRUE;1
260;270554,1445;7041986,112;198,4932568;628,9713171;1841;1845;1909;1909;Dronningens gate 10;;;;TRUE;0
259;270523,958;7041983,775;130,9398291;410,5871938;1841;1851;;1933;Dronningens gate 12;;;;TRUE;0
255;270498,2451;7041993,917;136,2724218;1154,487909;1842;1845;2002;2002;Dronningens gate 14;;pictures + antikvarisk;FIRE 2002;TRUE;1
198;270441,2358;7041993,851;71,46202008;250,1732842;1841;1851;;1928;Dronningens gate 18;;;;TRUE;0
322;270706,5721;7041962,241;134,2142644;475,1451716;1841;1851;;1909;Dronningens gate 2;;;;TRUE;0
