OID_;X;Y;Shape_Length;Shape_Area;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished;Fire
80;270706,0344;7042247,706;81,50044581;333,0131846;1839;1839;;;Fjordgata 9;;;;FALSE;0
13;270364,2458;7042267,056;84,44338621;419,0936212;1840;1845;;;Fjordgata 68;;;;FALSE;0
22;270386,3007;7042215,797;53,71361718;140,0313822;1841;1845;;;Jomfrugata 20;;;;FALSE;0
50;270490,7009;7042071,547;81,04465108;258,2505919;1840;1840;;;Nordre gate 13;;;;FALSE;0
8;270379,3603;7041996,934;119,8433753;441,421454;1841;1879;1879;1879;Dronningens gate 26;;;FIRE 1879;TRUE;1
12;270293,3752;7042232,31;98,67886887;542,217156;1841;1841;;;Fjordgata 82;;;;FALSE;0
14;270407,8805;7042280,272;92,65665466;476,9845447;1841;1841;;;Fjordgata 64;;;;FALSE;0
17;270304,053;7042182,449;90,62819491;404,6969837;1841;1841;;;Munkegata 41;;;;FALSE;0
25;270324,6992;7042065,542;63,88499344;207,8919797;1841;1841;;;Munkegata 33;;;;FALSE;0
26;270330,6349;7042029,576;110,4623309;424,1753693;1841;1841;;;Munkegata 27/29;;;;FALSE;0
27;270346,212;7042030,624;56,35152103;167,7830994;1841;1841;;;Thomas Angells gate 21;;;;FALSE;0
28;270355,0453;7042031,44;53,5506098;166,44768;1841;1841;;;Thomas Angells gate 19;;;;FALSE;0
29;270366,3601;7042031,983;48,75240427;128,6446727;1841;1841;;;Thomas Angells gate 17;;;;FALSE;0
30;270379,5681;7042036,715;60,40453734;201,0215065;1841;1841;;;Thomas Angells gate 15;;;;FALSE;0
31;270379,5461;7042028,086;52,58149278;134,0876384;1841;1841;;;Jomfrugata 6;;;;FALSE;0
32;270380,0819;7042015,354;65,8815022;250,9615348;1841;1879;1879;1879;Jomfrugata 4;;;FIRE 1879;TRUE;1
33;270408,9304;7042038,136;62,62183798;180,0872862;1841;1841;;;Jomfrugata 5A/5B;;;;FALSE;0
34;270405,5139;7042026,632;44,99459122;113,9740108;1841;1841;;;Jomfrugata 3;;;;FALSE;0
35;270427,4388;7042036,132;97,4379853;278,4793915;1841;1841;;;Thomas Angells gate 13;;;;FALSE;0
36;270427,7401;7042017,688;83,51539908;228,1360541;1841;1841;;;Vaterlandsveita 2;;;;FALSE;0
37;270408,927;7042016,138;54,4822998;178,4939014;1841;1841;;;Jomfrugata 1;;;;FALSE;0
38;270356,2048;7042066,152;46,20723394;119,4529218;1841;1841;;;Nedre Enkeltskillingsveita 2;;;;FALSE;0
39;270354,5255;7042055,55;40,35471379;96,89068818;1841;1841;;;Thomas Angells gate 26;;;;FALSE;0
46;270582,8084;7042064,07;72,02599799;267,7778193;1841;1841;;;Thomas Angells gate 10;;;;FALSE;0
47;270518,8856;7042066,419;58,08656046;112,8067541;1841;1841;;;Thomas Angells gate 14;;;;FALSE;0
48;270510,1376;7042066,172;68,49773236;147,7199606;1841;1841;;;Thomas Angells gate 16;;;;FALSE;0
49;270503,3801;7042071,503;87,88344733;292,9838211;1841;1841;;;Thomas Angells gate 18;;;;FALSE;0
52;270570,6354;7042096,684;79,68453488;340,4813328;1841;1841;;;Olav Tryggvasons gate 17;;;;FALSE;0
57;270688,5076;7042132,069;189,0455377;669,3809824;1841;1841;;;Olav Tryggvasons gate 6;;;;FALSE;0
64;270487,8694;7042284,718;84,31854152;347,9044759;1841;1841;;;Fjordgata 54;;;;FALSE;0
66;270512,3122;7042287,628;95,4955983;407,1034292;1841;1841;;;Fjordgata 50;;;;FALSE;0
67;270555,7401;7042290,614;98,28848847;480,4563248;1841;1841;;;Fjordgata 42;;;;FALSE;0
68;270566,888;7042291,201;87,06705624;298,4983297;1841;1841;;;Fjordgata 40;;;;FALSE;0
69;270582,7747;7042293,265;87,24807424;352,2252404;1841;1841;;;Fjordgata 38;;;;FALSE;0
71;270607,9051;7042293,71;95,10394307;501,1326544;1841;1857;1857;1857;Fjordgata 34;;;FIRE 1857;TRUE;1
72;270641,9438;7042299,177;93,77732953;457,3792665;1841;1857;1857;1857;Fjordgata 32;;;FIRE 1857;TRUE;1
73;270658,5417;7042297,844;99,82706265;568,855042;1841;1857;1857;1857;Fjordgata 30;;;FIRE 1857;TRUE;1
74;270677,5849;7042296,6;105,3978491;577,9587815;1841;1857;1857;1857;Fjordgata 28;;;FIRE 1857;TRUE;1
75;270707,2984;7042294,582;94,46850209;489,6468697;1841;1857;1857;1857;Fjordgata 24;;;FIRE 1857;TRUE;1
76;270720,9015;7042293,479;86,18681454;352,6421905;1841;1857;1857;1857;Fjordgata 22;;;FIRE 1857;TRUE;1
77;270732,3237;7042292,742;87,06408666;373,9667201;1841;1857;1857;1857;Fjordgata 20;;;FIRE 1857;TRUE;1
78;270806,9356;7042282,396;73,31684199;302,1695784;1841;1841;;;Fjordgata 12;;;;FALSE;0
83;270826,0753;7042186,431;77,58403059;340,9557567;1841;1841;;;Kjøpmannsgata 50;;;;FALSE;0
85;270702,0382;7042214,787;81,00165213;179,5558047;1841;1841;;;Brattørveita 17;;;;FALSE;0
86;270724,1743;7042212,561;81,68587333;185,0490912;1841;1841;;;Brattørveita 13A/B;;;;FALSE;0
87;270333,1852;7041996,724;66,78938353;268,6484557;1841;1879;1879;1879;Dronningens gate 32;;;FIRE 1879;TRUE;1
88;270349,3091;7041996,558;68,38978733;287,7007836;1841;1879;1879;1879;Dronningens gate 30;;;FIRE 1879;TRUE;1
89;270361,406;7042005,236;103,4086962;482,5001758;1841;1879;1879;1879;Dronningens gate 28;;;FIRE 1879;TRUE;1
99;270519,8975;7042037,153;51,71736555;146,5919718;1841;1841;;;Thomas Angells gate 9;;;;FALSE;0
9;270452,9425;7042221,469;145,6278085;754,0042106;1842;1842;;;Nordre gate 26/28/30;;;;FALSE;0
20;270323,5503;7042193,423;118,0969024;403,5126148;1842;1842;;;Fjordgata 47/49;;;;FALSE;0
21;270374,436;7042225,572;53,01070912;110,6919771;1842;1842;;;Fjordgata 39;;;;FALSE;0
42;270435,9575;7042212,803;110,7577209;447,4445888;1842;1842;;;Ørjaveita 2;;;;FALSE;0
56;270663,5249;7042137,12;121,0108559;615,2429755;1842;1842;;;Olav Tryggvasons gate 8/10;;;;FALSE;0
62;270487,9217;7042206,786;66,79109225;240,3140339;1842;1842;;;Nordre gate 21;;;;FALSE;0
82;270669,3163;7042202,917;55,94881487;187,9783478;1842;1842;;;Brattørgata 12B;;;;FALSE;0
18;270302,3131;7042164,907;48,85905978;147,5094417;1843;1843;;;Munkegata 39;;;;FALSE;0
19;270314,1253;7042170,161;47,97846512;139,0463993;1843;1843;;;Taraldsgårdsveita 14;;;;FALSE;0
10;270641,7465;7042245,221;81,03240379;295,2161496;1844;1844;;;Fjordgata 17;;;;FALSE;0
84;270656,2918;7042244,674;98,58878062;410,3947951;1844;1844;;;Fjordgata 15;;;;FALSE;0
4;270595,8473;7042161,532;111,4395693;415,4755386;1845;1845;;;Søndre gate 22;;;;FALSE;0
40;270383,4589;7042175,128;45,83222748;125,7683208;1845;1845;;;Jomfrugata 16A;;;;FALSE;0
54;270634,3991;7042072,59;67,43740722;261,3534517;1845;1845;;;Søndre gate 17;;;;FALSE;0
58;270640,3312;7042153,749;85,22268905;238,3740534;1845;1845;;;Søndre gate 19;;;;FALSE;0
59;270637,6612;7042183,596;58,70172733;163,9222109;1845;1845;;;Søndre gate 23;;;;FALSE;0
61;270598,8156;7042149,185;75,87337903;291,8209585;1845;1845;;;Søndre gate 20;;;;FALSE;0
81;270650,8575;7042220,062;101,6116901;339,9859101;1845;1845;;;Søndre gate 27 ;;;;FALSE;0
90;270423,6395;7041988,601;65,94501485;267,2299009;1845;1845;;;Dronningens gate 20/22;;;;FALSE;0
23;270351,1918;7042188,547;50,17261533;135,599052;1850;1850;;;Taraldsgårdsveita 6;;;;FALSE;0
24;270332,3521;7042178,173;49,9423784;132,7335546;1850;1850;;;Taraldsgårdsveita 10;;;;FALSE;0
43;270418,9742;7042202,296;60,59205804;97,81958384;1841;1850;;;Ørjaveita 6;;;;FALSE;0
79;270726,515;7042240,121;117,238154;391,8088679;1841;1851;1857;1857;Fjordgata 7;;;;TRUE;1
16;270438,2872;7042282,355;81,67972719;293,827455;1841;1868;;1868;Fjordgata 60;;;;TRUE;0
15;270424,9982;7042281,141;100,9186159;553,4505624;1841;1870;;1870;Fjordgata 62;;;;TRUE;0
41;270429,5031;7042204,982;50,88251074;156,7850804;1841;1870;;1870;Ørjaveita 4;;;;TRUE;0
55;270731,0108;7042139,478;77,84546197;229,7415658;1841;1872;;1872;Krambugata 12;;;;TRUE;0
70;270593,8783;7042295,045;93,32506531;403,7297774;1841;1872;;1872;Fjordgata 36;;;;TRUE;0
3;270520,4987;7042090,719;79,91060274;280,2410673;1841;1873;;1873;Olav Tryggvasons gate 23;;;;TRUE;0
6;270322,8868;7042175,153;41,60451916;94,91036112;1841;1874;;1874;Taraldsgårdsveita 12;;;;TRUE;0
44;270434,759;7042233,167;90,38234142;180,9481129;1841;1874;;1874;Fjordgata 33;;;;TRUE;0
63;270504,8796;7042235,623;75,81697822;287,0349325;1841;1874;;1874;Fjordgata 31;;;;TRUE;0
65;270500,1547;7042286,781;90,93597897;408,7549462;1841;1874;;1874;Fjordgata 52;;;;TRUE;0
7;270562,1974;7042233,215;103,5614231;597,4537713;1841;1875;;1875;Fjordgata 21;;;;TRUE;0
53;270636,6192;7042089,416;87,84754652;502,6862815;1841;1876;;1876;Olav Tryggvasons gate 13;;;;TRUE;0
51;270489,7604;7042085,499;57,94567854;201,6088003;1841;1880;;1880;Nordre gate 15;;;;TRUE;0
45;270453,2572;7042093,382;84,10121739;439,3773138;1841;1881;;1881;Olav Tryggvasons gate 29;;;;TRUE;0
60;270651,7452;7042178,126;53,29101633;154,035151;1841;1883;;1883;Brattørgata 7;;;;TRUE;0
